timestamp,key,mode,device,python,grid_idx,val_auc,val_acc,runtime_sec,status,hp/batch_size,hp/channel_growth,hp/channels_start,hp/class_weighting,hp/conv_blocks,hp/dropout,hp/emb_dim,hp/epochs,hp/grad_clip,hp/kernel_sizes,hp/label_smoothing,hp/learning_rate,hp/loss_fn,hp/optimizer,hp/pooling,hp/scheduler,hp/seed,hp/seq_len,hp/use_batchnorm,hp/vocab_size,hp/weight_decay
2025-09-19T03:35:13.450205+00:00,8806903506b4fe9786dbc38d56910a39,scratch,cpu,3.12.4,14,0.7662864077669902,0.6945812807881774,15.71,ok,128,x1.5,128,none,1,0.25,160,8,1.0,3-5-7,0.03,0.001,bce_logits,adamw,max,none,42,256,True,30000,0.0001
2025-09-19T03:35:41.148784+00:00,f71e874aa5f349ede4be403f32fa66e1,scratch,cpu,3.12.4,15,0.7863106796116506,0.6600985221674877,27.69,ok,128,x1.5,160,none,2,0.2,160,8,1.0,3-5-7,0.0,0.0012,bce_logits,adamw,max,none,42,256,True,30000,0.0002
2025-09-19T03:36:17.626632+00:00,60d014f3d7739437975b34d633f8bf64,scratch,cpu,3.12.4,16,0.796383495145631,0.7044334975369458,36.42,ok,64,x1.5,160,none,2,0.2,128,8,1.0,3-5-7,0.0,0.001,bce_logits,adamw,max,none,42,224,True,30000,0.0001
2025-09-19T03:39:33.711124+00:00,0e7edde99e11f38ec9d89c93d3099d77,scratch,cpu,3.12.4,17,0.7592718446601942,0.6798029556650246,34.7,ok,128,x1.5,128,none,2,0.25,160,8,1.0,3-5-7,0.0,0.0008,bce_logits,adamw,max,none,42,224,True,30000,0.0002
2025-09-19T03:39:55.298143+00:00,d57cc9900a138eeb841e4296fc74c56c,scratch,cpu,3.12.4,18,0.7834466019417475,0.7068965517241379,21.58,ok,64,x1.5,128,none,2,0.2,160,8,1.0,3-5-7,0.0,0.0008,bce_logits,adamw,max,none,42,200,True,30000,0.0002
2025-09-19T03:40:09.342843+00:00,0464fa0f672c7c79c5064427a74db83d,scratch,cpu,3.12.4,19,0.8110436893203884,0.7167487684729064,14.04,ok,128,x1.5,160,none,1,0.25,192,8,1.0,3-5-7,0.03,0.0012,bce_logits,adamw,max,none,42,256,True,30000,0.0001
2025-09-19T03:40:46.079128+00:00,efd6825c425d9110aebfdaa4fae1128f,scratch,cpu,3.12.4,20,0.808373786407767,0.7093596059113301,36.73,ok,128,x1.5,160,none,2,0.25,192,8,1.0,3-5-7,0.0,0.0008,bce_logits,adamw,max,none,42,256,True,30000,0.0002
2025-09-19T03:41:34.889725+00:00,cf778dd879df8aab9890b195d441e30f,scratch,cpu,3.12.4,21,0.7960194174757282,0.7142857142857143,48.8,ok,64,x1.5,160,none,2,0.2,192,8,1.0,3-5-7,0.03,0.001,bce_logits,adamw,max,none,42,256,True,30000,0.0002
2025-09-19T03:41:51.617889+00:00,472c598b504f6783d1ef66d1cfddb839,scratch,cpu,3.12.4,22,0.7956067961165049,0.7167487684729064,16.72,ok,64,x1.5,128,none,2,0.2,128,8,1.0,3-5-7,0.03,0.0008,bce_logits,adamw,max,none,42,200,True,30000,0.0002
2025-09-19T03:42:06.966578+00:00,f71cb5c697ff7da6eb26cb2c8e3bd90e,scratch,cpu,3.12.4,23,0.7983009708737864,0.7266009852216748,15.34,ok,128,x1.5,128,none,1,0.2,192,8,1.0,3-5-7,0.03,0.0012,bce_logits,adamw,max,none,42,256,True,30000,0.0002
2025-09-19T03:42:31.250175+00:00,a8026c757f12bd943b358348fb9abc60,scratch,cpu,3.12.4,24,0.782233009708738,0.7167487684729064,24.28,ok,64,x1.5,160,none,2,0.25,160,8,1.0,3-5-7,0.03,0.001,bce_logits,adamw,max,none,42,200,True,30000,0.0002
2025-09-19T03:42:45.369468+00:00,b415d4b3e8161dbcf57e172cab31459e,scratch,cpu,3.12.4,25,0.7930582524271845,0.7216748768472906,14.11,ok,128,x1.5,160,none,1,0.25,128,8,1.0,3-5-7,0.0,0.0008,bce_logits,adamw,max,none,42,200,True,30000,0.0001
2025-09-19T03:43:18.458878+00:00,ec84dbde5c9e0e705d65adaac67413e4,scratch,cpu,3.12.4,26,0.8020873786407766,0.6945812807881774,33.08,ok,64,x1.5,128,none,2,0.25,192,8,1.0,3-5-7,0.0,0.0008,bce_logits,adamw,max,none,42,200,True,30000,0.0002
2025-09-19T03:46:46.486620+00:00,5ca526d0b7e7d7061926c59412e964db,scratch,cpu,3.12.4,27,0.8073543689320388,0.7093596059113301,14.91,ok,128,x1.5,128,none,1,0.25,192,8,1.0,3-5-7,0.03,0.0008,bce_logits,adamw,max,none,42,200,True,30000,0.0002
2025-09-19T03:47:16.540807+00:00,cf10d88e01d22d4a9de9270b93189a89,scratch,cpu,3.12.4,28,0.7888592233009709,0.6847290640394089,30.01,ok,64,x1.5,128,none,2,0.2,192,8,1.0,3-5-7,0.03,0.0012,bce_logits,adamw,max,none,42,224,True,30000,0.0001
2025-09-19T03:47:28.196020+00:00,95d7b3dae8a2afbd80036f94dc94ee1b,scratch,cpu,3.12.4,29,0.7950728155339806,0.6305418719211823,11.64,ok,64,x1.5,160,none,1,0.25,160,8,1.0,3-5-7,0.03,0.001,bce_logits,adamw,max,none,42,256,True,30000,0.0001
2025-09-19T03:47:45.402145+00:00,cf8a7b64c7dc1537899191c2a7bd5114,scratch,cpu,3.12.4,30,0.7850242718446601,0.7142857142857143,17.2,ok,128,x1.5,128,none,2,0.25,128,8,1.0,3-5-7,0.03,0.001,bce_logits,adamw,max,none,42,200,True,30000,0.0001
2025-09-19T03:48:18.542168+00:00,f074da07c3b076d897c057dc85fa921d,scratch,cpu,3.12.4,31,0.7986893203883495,0.687192118226601,33.13,ok,64,x1.5,128,none,2,0.25,192,8,1.0,3-5-7,0.03,0.001,bce_logits,adamw,max,none,42,224,True,30000,0.0001
2025-09-19T03:48:34.668791+00:00,a535949e2783aeaeedc4b879ebfce100,scratch,cpu,3.12.4,32,0.7961165048543689,0.7142857142857143,16.12,ok,64,x1.5,160,none,1,0.25,160,8,1.0,3-5-7,0.03,0.001,bce_logits,adamw,max,none,42,200,True,30000,0.0002
2025-09-19T03:48:59.445250+00:00,893bb71ddd46c8de8af433efa1b87974,scratch,cpu,3.12.4,33,0.8036650485436894,0.7167487684729064,24.77,ok,128,x1.5,128,none,2,0.2,192,8,1.0,3-5-7,0.0,0.0012,bce_logits,adamw,max,none,42,256,True,30000,0.0002
2025-09-19T03:49:14.685430+00:00,e8d41c3b10fa56f22de552c2f2b42768,scratch,cpu,3.12.4,34,0.8068446601941748,0.7216748768472906,15.23,ok,64,x1.5,128,none,1,0.2,192,8,1.0,3-5-7,0.03,0.001,bce_logits,adamw,max,none,42,224,True,30000,0.0002
2025-09-19T03:49:54.239722+00:00,64b253de2fa6da9200e3a9e76b10638e,scratch,cpu,3.12.4,35,0.7858252427184468,0.6945812807881774,39.55,ok,64,x1.5,128,none,2,0.25,160,8,1.0,3-5-7,0.03,0.0012,bce_logits,adamw,max,none,42,256,True,30000,0.0002
